10
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
S24182 1455 1997 2 2 4.4833 154.5167 1997 2 14 4.8667 153.7 56.9 53.1
S24050 1456 1997 2 2 4.4167 154.6667 1997 2 14 4.8667 153.7 56 45.2
S22829 1457 1997 1 30 15.55 155.7 1997 2 11 15.5333 154.45 60.9 58
S22843 1458 1997 1 30 15.55 155.7 1997 2 11 15.5333 154.45 62.6 60.6
S22841 1459 1997 1 30 15.55 155.7 1997 2 11 15.5333 154.45 62.4 61
S22833 1460 1997 1 30 15.55 155.7 1997 2 6 15.6167 154.7 61.4 60
S23510 1461 1997 1 30 15.4333 155.85 1997 2 11 15.5333 154.45 59.2 58
S22850 1462 1997 1 30 15.55 155.7 1997 2 16 15.2167 155.5833 62.8 62
ME42269 1485 1996 11 13 18.6167 153.95 1997 2 21 1.8667 150.8333 44.4 50
S24304 1486 1997 2 5 2.1833 152.3167 1997 2 21 1.8667 150.8333 62.4 48
