9
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
45414 686 1989 10 14 37.8667 145.2667 1992 12 24 29.9 191.7 37.7557 NA
ME31346 688 1992 11 22 6.6167 174.3167 1992 12 16 1.4833 175.1167 70.8081 64
ME30162 692 1992 11 18 9.5333 158.65 1992 12 8 7.9 160.9833 64.2527 NA
ME30047 693 1992 11 18 9.5333 158.65 1992 12 3 9.05 162.1 58.3762 58
ME30393 695 1992 11 18 9.5333 158.65 1992 12 1 7.8333 160.7833 68.9028 NA
ME30432 696 1992 11 18 9.5333 158.65 1992 12 14 7 160 70.8957 60
ME30224 706 1992 11 19 8.3167 161.5333 1992 12 30 4.6 170.9667 69.7164 NA
ME30169 713 1992 11 18 9.5333 158.65 1992 12 29 5.0333 170.3167 64.6104 60
YZ28883 725 1992 12 1 6.4667 146.1833 1992 12 25 2.6333 149.6667 49.5 NA
