15
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
S17358 1216 1994 11 29 9.7167 150.8 1995 2 1 21.5 141.5 44 NA
ME37031 1222 1995 1 27 20.9333 140.7667 1995 2 1 20.3333 141.6667 71.5 NA
S16216 1224 1995 1 27 20.9333 140.7667 1995 2 9 21.3333 141.3333 71.5 65
S16224 1225 1995 1 27 20.9333 140.7667 1995 2 11 21 141.3333 71.5 64.7
S13618 1262 1994 1 24 15.95 140.3833 1995 2 10 6.1667 151.9333 60 68
YZ31749 1263 1995 1 30 11.8 141.4167 1995 2 13 24.1167 140.4667 50.5 64
S17840 1264 1994 11 30 9.6667 151.3 1995 2 12 5.4833 151.7333 58 NA
S13334 1265 1994 1 23 16.3667 140.4 1995 2 5 3.9667 150.0667 58.5 68
56912 1268 1994 9 16 40.45 144.6 1995 2 26 10.3167 143.4167 45 NA
S17793 1270 1994 11 30 9.6667 151.3 1995 2 3 22.1 142.7333 58 50
G7321 1271 1995 2 16 12.5667 150.65 1995 2 21 13.0833 151.05 64 55
ME37758 1306 1995 1 28 20.9333 140.9833 1995 2 10 21.4667 141.9167 72 NA
ME37743 1307 1995 1 28 20.9333 140.9833 1995 2 10 21.4667 141.9167 72 NA
S16703 1308 1995 1 28 20.9667 140.9833 1995 2 10 21.4667 141.9167 72 NA
S16073 1309 1995 1 28 20.9333 140.9833 1995 2 10 21.4667 141.9167 72 NA
