29
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
 S12604 854 1994 1 23 16.3667 140.4 1994 4 10 14.6667 135.1667 58.5 60
 S12084 855 1994 1 23 16.7333 140.5333 1994 4 14 15.7667 138.3667 60 56.5
 S13285 856 1994 1 23 16.3667 140.4 1994 4 9 16.3333 138.5 58.5 58
 S13211 857 1994 1 23 16.55 140.4333 1994 4 15 15.9167 138.5 59.5 60
 S13415 858 1994 1 23 16.3667 140.4 1994 4 22 16.2833 141.3333 58.5 59
55345 859 1994 2 17 14.5333 135.3333 1994 4 26 26 136.2667 41.5 45
 S12001 860 1994 1 23 16.7333 140.5333 1994 4 15 15.5 140.6667 60 52
G5374 861 1993 9 19 39.6333 152.8 1994 4 26 33.5333 135.2 53 NA
 S13601 870 1994 1 24 15.95 140.3833 1994 4 10 13.9333 150.6167 60 60
 S14651 871 1993 11 29 9 150.5 1994 4 10 1.2667 157.1667 55 55
 S12334 872 1994 1 23 16.55 140.4333 1994 4 20 15.6833 141.3333 59.5 57.4
G5750 873 1993 8 18 40.3333 151.05 1994 4 29 26.0667 140.9333 50 55
50398 881 1992 2 8 7.8167 141.8833 1994 4 7 -0.8833 155.7 36 NA
 S12279 882 1994 1 23 16.3667 140.4 1994 4 11 16.6167 152.1833 58.5 55
 S12072 916 1994 1 23 16.7333 140.5333 1994 4 5 15.65 137.0667 60 NA
 S12367 917 1994 1 23 16.4667 140.2667 1994 4 5 15.65 137.0667 62.5 NA
58406 919 1994 3 20 25.6 142.7833 1994 4 24 28.5833 135.8333 36.5 NA
 S12176 1025 1994 1 23 16.55 140.4333 1994 4 7 15.3833 136.5333 59.5 60
 S12381 1054 1994 1 23 16.3667 140.4 1994 4 11 15 134.5 58.5 NA
 S12551 1059 1994 1 23 16.3667 140.4 1994 4 29 14.8833 139.95 58.5 61.2
 S12048 1060 1994 1 23 16.7333 140.5333 1994 4 12 12.1667 159.0833 60 NA
 S14908 1061 1993 12 2 2.7167 150.2667 1994 4 29 4.6667 140.4167 56 52
 S14741 1062 1993 11 29 8.9 150.7167 1994 4 24 4.8667 169 53 59.3
 S12313 1063 1994 1 23 16.55 140.4333 1994 4 24 14.6 141.0333 59.5 NA
 S12430 1064 1994 1 23 16.3667 140.4 1994 4 27 17.2667 157.5167 58.5 58
 S12490 1068 1994 1 23 16.3667 140.4 1994 4 11 15.35 141.6667 58.5 NA
 S13422 1075 1994 1 23 16.3667 140.4 1994 4 24 14.6 141.0333 58.5 NA
G5723 1205 1993 8 18 40.3333 151.1333 1994 4 20 13.3333 154.25 50 NA
 S12575 1206 1994 1 23 16.3667 140.4 1994 4 20 13.3333 154.25 58.5 NA
