10
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
G9092 1396 1995 8 3 40.75 166.7333 1996 6 8 31.75 144.8333 47 53
60060 1399 1995 9 26 38.8333 147.1667 1996 6 5 32.6667 137.8 51.5 59
G9093 1412 1995 8 3 40.75 166.7333 1996 6 9 33.35 144.1833 45 NA
S18525 1418 1995 11 24 15.6333 139.75 1996 6 12 18.0167 156.5167 50 58.9
G9900 1420 1995 9 24 40.8833 153 1996 6 7 24.45 153.05 51 51.8
YZ32344 1422 1995 1 30 11.8 141.4167 1996 6 3 17.2667 156.8 50.5 73
60017 1423 1995 9 26 38.8333 147.1667 1996 6 18 31.9167 146.0333 51.5 56
S19611 1424 1995 11 28 10.7833 141.85 1996 6 16 18.6333 156.2333 57 61
G9916 1425 1995 9 26 40.5333 150.0333 1996 6 23 34.6167 149.15 42 56
60525 1476 1996 3 12 18.7667 154.3 1996 6 18 19.1833 156.6 56 59.5
