65
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
165761 5092 1988 3 3 -3.13 279.32 1988 3 23 -2.97 279.4 50 NA
165611 5094 1988 3 3 -3.13 279.38 1988 3 23 -3.17 279.47 51 NA
165629 5096 1988 3 3 -3.13 279.32 1988 3 17 -3.17 279.32 49 49.8
165635 5097 1988 3 3 -3.13 279.32 1988 3 23 -3.17 279.47 52 NA
165666 5099 1988 3 3 -3.13 279.32 1988 3 22 -3.17 279.17 50 NA
165667 5100 1988 3 3 -3.13 279.32 1988 3 23 -2.97 279.4 53 55
165677 5101 1988 3 3 -3.13 279.32 1988 3 23 -3.17 279.47 49 50.4
165678 5102 1988 3 3 -3.13 279.32 1988 3 17 -3.18 279.33 51 NA
165685 5103 1988 3 3 -3.13 279.32 1988 3 23 -2.97 279.4 49 52.7
165719 5104 1988 3 3 -3.13 279.32 1988 3 23 -3.17 279.47 48 NA
165726 5106 1988 3 3 -3.13 279.32 1988 3 23 -3.17 279.47 45 NA
165772 5109 1988 3 3 -3.13 279.32 1988 3 17 -3.25 279.33 47 50.5
165775 5110 1988 3 3 -3.13 279.32 1988 3 22 -3.17 279.17 48 NA
165776 5111 1988 3 3 -3.13 279.32 1988 3 23 -3.17 279.47 45 NA
165787 5112 1988 3 3 -3.13 279.32 1988 3 23 -2.97 279.4 52 55.6
165793 5113 1988 3 3 -3.13 279.32 1988 3 23 -2.97 279.4 45 49.9
166702 5114 1988 3 3 -3.17 279.18 1988 3 17 -3.17 279.32 54 NA
166706 5115 1988 3 3 -3.17 279.18 1988 3 23 -3.17 279.47 53 54.2
166734 5117 1988 3 3 -3.17 279.18 1988 3 23 -2.97 279.4 51 54
166740 5119 1988 3 3 -3.17 279.18 1988 3 23 -3.15 279.33 50 NA
166768 5122 1988 3 3 -3.17 279.18 1988 3 23 -3.17 279.47 54 56.4
166798 5124 1988 3 3 -3.17 279.18 1988 3 28 -3.35 279.25 53 NA
166777 5125 1988 3 3 -3.17 279.18 1988 3 22 -3.17 279.37 57 NA
166807 5126 1988 3 4 -3.07 279.28 1988 3 20 -3.27 279.23 54 NA
166804 5127 1988 3 4 -3.07 279.28 1988 3 23 -2.97 279.4 52 55.3
166820 5128 1988 3 4 -3.07 279.28 1988 3 17 -3.18 279.33 53 NA
166836 5129 1988 3 4 -3.07 279.28 1988 3 22 -3.17 279.17 48 NA
YZ13026 223 1988 1 30 4.1333 152.7167 1988 3 3 4.8667 151.6667 55.5 NA
YZ14533 226 1988 2 3 3.1167 154.1167 1988 3 13 4.3333 149.4167 55 53.9
YZ13922 227 1988 1 31 3.3833 154.6333 1988 3 13 4.3333 149.4167 43.5 47.9
YZ14510 228 1988 2 3 3.1167 154.1167 1988 3 9 5.35 152.3667 55 52
YZ13204 235 1988 1 31 3.3 154.5833 1988 3 17 5.5 147.4333 50.5 53.2
YZ14460 236 1988 2 3 3.1167 154.1167 1988 3 17 5.5 147.4333 55 53.8
YZ14099 237 1988 2 1 3.4 154.5333 1988 3 17 5.5 147.4333 50 NA
YZ11666 243 1987 12 1 7.0167 153.2833 1988 3 7 0.35 152.8 53 55.5
YZ12259 244 1987 12 1 7.0667 153.3833 1988 3 21 9.8 158 55 58.9
YZ14551 245 1988 2 3 3.1167 154.1167 1988 3 17 5.5 147.4333 55 55.8
YZ12948 246 1988 1 30 4.1333 152.7167 1988 3 26 2.7833 149.3833 55 NA
YZ11168 247 1987 11 28 4.25 147.1667 1988 3 21 3.9667 148.9667 47 54.8
YZ10092 248 1987 10 14 11.5333 142.8667 1988 3 26 11.2833 151.4167 61 65.8
YZ12920 249 1988 1 30 4.1333 152.7167 1988 3 26 3.2 149.05 55.5 56.1
YZ14083 250 1988 2 1 3.4 154.5333 1988 3 19 4.0333 147.5167 50 56.6
YZ14342 251 1988 2 3 3.1333 154.1167 1988 3 19 4.0333 147.5167 55.5 55.6
YZ12437 252 1987 12 1 7.0667 153.3833 1988 3 20 7.9167 161.25 55 63
YZ13686 253 1988 1 31 3.3667 154.6 1988 3 21 2.8533 150.8333 55.5 56.5
ME10967 257 1988 2 4 13.2667 150.1667 1988 3 29 11.4833 154.15 69.0708 NA
YZ14547 260 1988 2 3 3.1167 154.1167 1988 3 11 3.8333 152.5167 55 55.4
YZ13719 261 1988 1 31 3.3667 154.6 1988 3 11 3.8333 152.5167 55 52.9
YZ12906 262 1988 1 30 4.1333 152.7167 1988 3 11 3.8333 152.5167 55 53.9
YZ14062 266 1988 2 1 3.4 154.5333 1988 3 11 3.4333 155.2 50 57
YZ12922 267 1988 1 30 4.1333 152.7167 1988 3 29 2.8167 146.7 55 60.8
YZ14446 268 1988 2 3 3.1167 154.1167 1988 3 20 3.1833 150.15 55 50.7
YZ14464 269 1988 2 3 3.1167 154.1167 1988 3 29 3.6833 151.1667 55 NA
YZ13553 270 1988 1 31 3.3667 154.6 1988 3 29 3.6833 151.1667 55.5 NA
YZ14352 277 1988 2 3 3.1333 154.1167 1988 3 23 4.4 148.7 55.5 NA
YZ14385 279 1988 2 3 3.1333 154.1167 1988 3 11 3.8333 152.5167 55.5 NA
YZ12297 289 1987 12 1 7.0667 153.3833 1988 3 8 12.8333 147.0667 55 NA
YZ12246 290 1987 12 1 7.0667 153.3833 1988 3 8 12.8333 146.2 55 NA
YZ13846 291 1988 1 31 3.3667 154.6 1988 3 31 -0.3167 153.3833 55.5 NA
YZ13057 292 1988 1 30 4.1333 152.7167 1988 3 31 -0.3167 153.3833 55.5 60
YZ12205 297 1987 12 1 7.0667 153.3833 1988 3 30 2.9667 150.7833 55 NA
YZ14398 298 1988 2 3 3.1333 154.1167 1988 3 9 4.2667 152.05 55.5 NA
YZ13049 299 1988 1 30 4.1333 152.7167 1988 3 9 4.2667 152.05 55.5 NA
YZ14292 300 1988 2 1 2.75 154.4833 1988 3 9 4.2667 152.05 39.5 NA
YZ12777 301 1988 1 29 6.45 148.6167 1988 3 9 4.2667 152.05 50.5 NA
