115
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
685 P00704 2006 8 20 -3.24 150.8583 2007 1 22 -5.0167 149.6 41 51
735 P00744 2006 8 20 -3.24 150.8583 2007 1 16 -0.5353 146.0267 38 52
784 P01131 2006 8 20 -3.24 150.8583 2007 1 9 -4.1167 147.5167 38 47
827 P01166 2006 8 20 -3.24 150.8583 2007 1 25 -0.377 156.5683 39 52.5
864 P01196 2006 8 20 -3.24 150.8583 2007 1 4 -6.5167 154.5 44 32
1091 P00788 2006 8 20 -3.2905 150.9733 2007 1 15 -3.8333 150.8167 39 56
1410 P01368 2006 8 21 -2.8114 150.6755 2007 1 24 -2.0027 155.9501 60 45
1485 P01416 2006 8 21 -2.8114 150.6755 2007 1 10 0.1334 151.5 52 58
1551 P01458 2006 8 21 -2.8114 150.6755 2007 1 4 0.0225 141.7353 52 55
1563 P01464 2006 8 21 -2.8114 150.6755 2007 1 22 -5.0167 149.6 55 48
1591 P01288 2006 8 21 -2.8114 150.6755 2007 1 12 -5.2167 149.2833 60 28
1704 P01678 2006 8 21 -2.8114 150.6755 2007 1 12 -7.1737 165.7787 55 60
1834 P01969 2006 8 22 -2.8117 150.6755 2007 1 24 0.6393 151.6287 55 60
1883 P01813 2006 8 22 -2.8117 150.6755 2007 1 10 -2.0028 160.3079 56 65
1981 P02173 2006 8 25 -2.85 150.6783 2007 1 15 -1.5362 157.5525 55 58.2
2233 P01770 2006 8 26 -3.2408 150.8917 2007 1 22 -5.0167 149.6 44 49
2292 P01545 2006 8 26 -3.98 151.1908 2007 1 16 -1.231 157.6225 57 68.6
2375 P02043 2006 8 27 -4.4791 150.0667 2007 1 2 -0.0417 149.75 44 48
2467 P02048 2006 8 28 -4.4792 150.0667 2007 1 12 -4.5374 146.9224 46 52
2741 P02321 2006 8 28 -4.4792 150.0667 2007 1 15 -3.8333 150.8167 42 49
2753 P02333 2006 8 28 -4.4792 150.0667 2007 1 2 -0.0417 149.75 45 51
2778 P02474 2006 8 28 -4.7733 150.4833 2007 1 15 -3.8333 150.8167 50 55
2782 P02351 2006 8 28 -4.7733 150.4833 2007 1 26 -1.5122 148.0047 47 54.7
4856 P04354 2006 9 4 -4.1746 149.3534 2007 1 15 -3.8333 150.8167 47 52
5073 P04400 2006 9 5 -3.6704 149.1572 2007 1 25 -0.3533 149.2693 50 57.1
5077 P04702 2006 9 5 -3.6704 149.1572 2007 1 1 -0.0417 149.75 51 55
5162 P04733 2006 9 5 -3.6706 149.48 2007 1 28 -1.9558 146.0149 51 57
5274 Z15084 2006 9 9 -2.87 150.6333 2007 1 2 -0.0417 149.75 33 44
5376 P05443 2006 9 10 -2.331 148.7741 2007 1 15 -3.8333 150.8167 39 40
5915 P05634 2006 9 12 -1.2 146.65 2007 1 4 -0.8133 150.1207 53 63
6026 P04888 2006 9 12 -1.2833 146.3833 2007 1 10 -3.6 159.6667 56 48
6400 P05803 2006 9 12 -1.2833 146.3833 2007 1 26 -3.8833 149.7872 53 56.8
6745 P05895 2006 9 16 -1.157 143.8717 2007 1 12 -8.8521 156.669 52 NA
7130 P06114 2006 9 19 -2.5294 145.1238 2007 1 25 -0.541 146.1079 52 60
7758 P05296 2006 9 19 -2.6032 145.2596 2007 1 15 -0.338 153.7667 45 45.7
7640 P06184 2006 9 19 -2.6604 145.0855 2007 1 16 -1.6213 147.5205 53 60.5
7994 P06713 2006 9 19 -2.6607 145.085 2007 1 5 -1.9526 162.8332 53 58
