9
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
 S12171 849 1994 1 23 16.55 140.4333 1994 3 4 23.1 142.6167 59.5 56
 S12061 851 1994 1 23 16.7333 140.5333 1994 3 29 16.1667 139.4833 60 58
 S12665 852 1994 1 23 16.3667 140.4 1994 3 31 15.75 138.3333 58.5 58
 S12044 868 1994 1 23 16.7333 140.5333 1994 3 20 10.6333 146.1 60 57.3
 S12299 869 1994 1 23 16.3667 140.4 1994 3 20 10.6333 146.1 58.5 63.5
 S15199 876 1993 12 3 3.1833 147.4167 1994 3 1 5.5167 152.7 51 NA
 S12425 880 1994 1 23 16.3667 140.4 1994 3 29 3.1 146.2833 58.5 53
 S15716 1007 1994 1 29 14.8 135.7167 1994 3 10 15 135 57 NA
 S15656 1008 1994 1 29 14.8 135.7167 1994 3 10 15 135 57 NA
