236
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
3035 P03027 2006 8 29 -4.4783 150.0683 2007 8 6 -4.3333 150.3833 41 49
3510 P02869 2006 8 30 -5.0479 149.6083 2007 8 31 -3.6667 149.7 44 NA
3937 P03680 2006 8 31 -5.1925 149.0791 2007 8 10 -2.342 142.2641 41 58
10907 P08161 2006 9 26 -3.8356 145.694 2007 8 5 2.8 139.8333 48 59
13118 P10563 2006 10 13 -4.4196 150.9209 2007 8 26 -1.9946 160.9694 46 59
13139 P10584 2006 10 13 -4.4196 150.9209 2007 8 20 -0.4833 157.8833 46 28
14944 P11712 2006 10 19 -3.8432 145.639 2007 8 1 11.4833 117.7167 45 61
17500 P13951 2006 10 24 -3.5041 145.4256 2007 8 13 -2.2182 142.8497 52 38
19210 P15701 2006 10 26 -2.2905 143.6247 2007 8 1 2.5083 139.5 42 51
19248 P14698 2006 10 26 -2.2905 143.6247 2007 8 1 2.5083 139.5 42 49
19359 P15836 2006 10 26 -2.2905 143.6247 2007 8 15 2.5083 139.5 45 56
22998 P18854 2007 2 20 -5.7776 155.8412 2007 8 22 -2.1675 161.0313 44 51
23299 P18738 2007 2 20 -5.7776 155.8412 2007 8 18 -4.4069 169.1348 41 54
23449 P18916 2007 2 20 -5.7324 155.6981 2007 8 2 3.466 159.2484 40 47.7
23497 P19093 2007 2 20 -5.7324 155.6981 2007 8 18 1.0321 151.2565 44 55
23549 P18988 2007 2 20 -5.7324 155.6981 2007 8 22 -1.65 158.2833 42 48
23628 Z18359 2007 2 20 -5.7324 155.6981 2007 8 8 -4.1167 148.2 43 28
23914 P19229 2007 2 23 -6.5583 154.3783 2007 8 12 -8.5868 158.5258 46 51
23956 P19348 2007 2 23 -6.5583 154.3783 2007 8 25 -2.7968 158.6489 50 58.5
24761 P19419 2007 2 25 -6.6676 150.0433 2007 8 6 -2.141 142.4397 45 52
25265 P20566 2007 2 26 -6.489 150.4272 2007 8 16 -0.5984 158.0028 46 56
25295 P20596 2007 2 26 -6.489 150.4272 2007 8 25 -0.0935 153.9859 50 61
25323 P21124 2007 2 26 -6.489 150.4272 2007 8 4 -0.2915 168.8211 58 65
25348 P21149 2007 2 26 -6.489 150.4272 2007 8 17 -2.4475 142.7658 43 53
25369 P21170 2007 2 26 -6.489 150.4272 2007 8 18 -7.2498 158.2487 48 53
25480 P20808 2007 2 26 -6.489 150.4272 2007 8 18 1.0297 151.2595 48 60
25587 P20706 2007 2 26 -6.489 150.4272 2007 8 8 39.1173 149.2357 52 59
25790 P20906 2007 2 26 -6.489 150.4272 2007 8 18 -0.1454 150.0129 46 52
25800 P20912 2007 2 26 -6.489 150.4272 2007 8 7 -2.8333 143.3667 46 51
26443 P20205 2007 2 27 -6.451 150.417 2007 8 17 -1.9274 141.9293 53 62
26444 P20206 2007 2 27 -6.451 150.417 2007 8 26 -3.5083 160.7816 45 52
26609 P20281 2007 2 27 -6.451 150.417 2007 8 20 -3.7393 155.7633 51 61
26847 P22374 2007 2 28 -6.3912 150.398 2007 8 5 -2.1308 163.6317 50 55.5
27235 P21388 2007 2 28 -6.3912 150.398 2007 8 22 -9.8789 150.4211 46 54
27278 P21862 2007 2 28 -6.3912 150.398 2007 8 8 -3.6667 147.15 46 52
27533 P21483 2007 2 28 -6.3912 150.398 2007 8 23 -1.65 158.2833 47 53.1
27637 P21956 2007 2 28 -6.3912 150.398 2007 8 26 -2.6854 161.4551 51 59
27760 P22557 2007 2 28 -6.3912 150.398 2007 8 13 -0.5254 173.6686 51 61
27787 P22572 2007 2 28 -6.3912 150.398 2007 8 24 -3.6944 158.7595 46 42
27796 P22579 2007 2 28 -6.3912 150.398 2007 8 2 3.4682 159.2499 53 61.4
28251 P24875 2007 2 28 -6.3715 150.4878 2007 8 2 3.4687 159.25 55 61.6
28264 P24886 2007 2 28 -6.3715 150.4878 2007 8 18 0.5664 150.6589 47 61
28305 P22794 2007 2 28 -6.3715 150.4878 2007 8 23 -4.5993 147.568 55 57
28313 P24903 2007 2 28 -6.3715 150.4878 2007 8 23 -2.4693 158.4006 52 60.6
28503 P24790 2007 2 28 -6.3715 150.4878 2007 8 10 -0.0093 149.2205 46 53
28507 P24793 2007 2 28 -6.3715 150.4878 2007 8 21 -1.8322 141.8907 51 41
28542 P24627 2007 2 28 -6.3715 150.4878 2007 8 23 -4.5993 147.568 50 57
28614 P24550 2007 2 28 -6.3715 150.4878 2007 8 14 -4.8659 171.2088 53 56
