8
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
S4633 514 1990 9 15 20.6667 148.4667 1990 12 2 5.6 156.7833 38 48.2
ME23302 515 1990 11 20 4.5167 177.5333 1990 12 6 4.6667 181.8333 59.4732 NA
YZ25894 516 1990 9 22 17.6167 132.9833 1990 12 7 7 123.5 34.5 NA
YZ25981 517 1990 10 27 14.3 139.8167 1990 12 5 0 153 39.5 40.9
S4262 519 1990 9 15 20.6667 148.4667 1990 12 27 4.9833 148.6167 38 51.4
YZ25345 521 1990 9 20 16.0333 140.1 1990 12 29 2 141.7 36.5 50.4
YZ21873 534 1989 12 3 12.5167 140.8 1990 12 20 7 123.5 43.5 NA
YZ21873 553 1989 12 3 12.5167 140.8 1990 12 20 7 123 43.5 NA
