1855
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
102060 A23352 2008 4 4 -5.2854 160.0329 2009 9 17 -4.5427 178.02 55 NA
113402 P70661 2008 7 18 7.2666 157.8962 2009 9 18 -1.8809 180.1548 55 61
114523 P70976 2008 7 22 2.4122 156.1661 2009 9 27 -2.9907 175.7673 56 70
122240 P87111 2008 8 27 4.385 132.3126 2009 9 17 -1.2122 177.2637 42 66
129192 P77846 2008 10 2 -0.3929 129.4714 2009 9 27 -1.3125 141.7536 40 63
131451 P80828 2008 10 5 0.1924 131.0064 2009 9 16 0.7768 163.9854 38 54
132154 Z59843 2008 10 5 0.2554 130.8246 2009 9 4 1 125.2833 36 54
134418 P91562 2008 10 6 1.0501 130.6411 2009 9 16 0.7769 163.986 39 51
136589 P82001 2008 10 12 -2.6852 125.6002 2009 9 13 -2.7667 124.5667 38 32
137431 P82374 2008 10 12 -2.7122 125.6081 2009 9 7 -7.9203 120.9897 37 48
141158 P100705 2008 10 17 -4.2159 128.4837 2009 9 26 2.6 130.1667 41 45
143499 P95605 2008 10 19 -3.6107 132.1181 2009 9 25 3.6667 129.2167 37 40
143541 P95625 2008 10 19 -3.6107 132.1181 2009 9 12 -2 127 38 58
144419 P96239 2008 10 20 -3.5979 132.3994 2009 9 8 1.4408 126.7583 40 45
144506 P95726 2008 10 20 -3.5979 132.3994 2009 9 21 -2.7188 143.3211 38 44
144517 P95736 2008 10 20 -3.5979 132.3994 2009 9 26 2.6 130.1667 38 44
144760 Z57533 2008 10 20 -3.5979 132.3994 2009 9 11 -2 127 35 62
144934 Z57594 2008 10 20 -3.5979 132.3994 2009 9 8 1.4408 126.7583 36 46
146745 P98040 2008 10 21 -2.5095 130.1425 2009 9 7 -1.6667 126 50 47
146832 P97958 2008 10 21 -2.4577 129.6453 2009 9 15 2.1868 141.1397 47 49
147266 P91238 2008 10 21 -2.4577 129.6453 2009 9 16 0.658 158.374 39 61
147045 P98064 2008 10 21 -2.5922 129.6083 2009 9 16 0.7767 163.986 41 59
148387 Z57736 2008 10 22 -1.9099 129.1432 2009 9 27 -1.718 126.787 34 43
149387 P84572 2008 10 22 -1.5244 129.1438 2009 9 4 -3.9667 127.2333 36 61
149594 P84711 2008 10 22 -1.5244 129.1438 2009 9 29 2.5383 128.1688 39 46
150329 P85656 2008 10 24 -0.5079 131.4001 2009 9 29 -1.7967 157.244 43 NA
150496 P85041 2008 10 24 -0.5079 131.4001 2009 9 16 0.7767 163.9859 41 56
151463 P85678 2008 10 26 -0.4176 131.6365 2009 9 7 0.938 164.8253 42 50
152289 P86014 2008 10 26 -0.0347 132.1686 2009 9 6 -0.6043 146.5756 39 54
152451 P86679 2008 10 29 0.0331 137.8807 2009 9 10 1.5 137.4167 45 30
152700 P86784 2008 10 29 -0.2883 138.2173 2009 9 8 1.5 137 49 60
155149 P90920 2008 11 8 -0.2415 147.7772 2009 9 29 -3.3453 158.2867 45 72.5
