881
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
122 P00530 2006 8 17 -4.2233 151.33 2006 10 4 -4.4833 150.0833 49 50
158 P00092 2006 8 17 -4.2233 151.33 2006 10 23 0.0177 144.5822 49 51.9
201 P00206 2006 8 17 -4.1867 151.3217 2006 10 7 -0.8116 151.6443 62 67
471 P00329 2006 8 19 -4.25 151.1767 2006 10 4 -3.2813 146.5309 50 53
609 P00431 2006 8 20 -3.24 150.8583 2006 10 24 -3.1841 149.8746 41 46
686 P00705 2006 8 20 -3.24 150.8583 2006 10 25 -2.7333 143.0167 42 46
769 P01118 2006 8 20 -3.24 150.8583 2006 10 2 -2.6498 142.4519 40 48
1047 P00754 2006 8 20 -3.275 150.945 2006 10 6 -4.3167 150.7667 42 45
1406 P01365 2006 8 21 -2.8114 150.6755 2006 10 1 -3.089 165.079 59 62.2
1454 P01397 2006 8 21 -2.8114 150.6755 2006 10 5 1.6055 152.2492 59 NA
1569 P01468 2006 8 21 -2.8114 150.6755 2006 10 8 1.4833 146.9333 53 60.5
1623 P01917 2006 8 21 -2.8114 150.6755 2006 10 10 -1.7345 145.7513 48 42
1638 P01930 2006 8 21 -2.8114 150.6755 2006 10 6 -3.4333 146.6833 52 53
1773 P01688 2006 8 22 -2.8117 150.6755 2006 10 19 -2.0525 143.5408 55 40
1859 P01990 2006 8 22 -2.8117 150.6755 2006 10 25 0.2641 147.9962 57 56.4
1965 P02158 2006 8 25 -2.8117 150.6755 2006 10 21 -4.525 150.804 44 48
2126 P02186 2006 8 26 -3.2408 150.8917 2006 10 27 -3.6085 148.8859 46 52
2095 P02250 2006 8 26 -3.2405 150.889 2006 10 8 -4.45 150.7667 41 55
2325 Z14011 2006 8 27 -4.6092 150.3367 2006 10 25 -2.7833 142.25 34 47
2455 P02286 2006 8 27 -4.4791 150.0667 2006 10 27 -3.6085 148.8859 47 50
2762 P02342 2006 8 28 -4.4792 150.0667 2006 10 13 -4.3092 150.1172 43 50
2772 P02468 2006 8 28 -4.7733 150.4833 2006 10 1 -4.0021 146.5885 47 50
2868 P02720 2006 8 29 -4.4783 150.0683 2006 10 4 -4.4833 150.0833 41 48
2967 P03208 2006 8 29 -4.4783 150.0683 2006 10 6 -4.3167 150.7667 42 47
3015 P03016 2006 8 29 -4.4783 150.0683 2006 10 6 -4.3167 150.7667 41 47
3072 P03311 2006 8 29 -4.4783 150.0683 2006 10 1 -2.463 141.7617 52 53
3079 P03315 2006 8 29 -4.4783 150.0683 2006 10 4 -4.4833 150.0833 42 45
3143 P02360 2006 8 29 -4.4783 150.0683 2006 10 1 -3.3331 146.0617 40 43
3201 P02396 2006 8 29 -4.4783 150.0683 2006 10 4 -4.4833 150.0833 42 47
3299 P02819 2006 8 29 -4.4783 150.0683 2006 10 6 -4.3167 150.7667 41 47
3402 P03294 2006 8 30 -5.0479 149.6083 2006 10 1 -3.9955 146.5877 50 51
3654 P02669 2006 8 30 -5.2189 149.258 2006 10 14 -2.8667 148.6167 42 55
3943 P03686 2006 8 31 -5.1925 149.0791 2006 10 12 -3.1333 148.6833 50 53
4341 P03154 2006 8 31 -5.2567 149.1734 2006 10 1 -3.9919 146.5875 51 53
4784 Z14194 2006 9 3 -4.9441 148.7067 2006 10 24 -3.1841 149.8746 34 38
4858 P04356 2006 9 4 -4.1746 149.3534 2006 10 3 -3.8317 145.6667 50 50.5
4859 P04357 2006 9 4 -4.1746 149.3534 2006 10 3 -2.3 142.5167 49 50
4866 P04361 2006 9 4 -3.7921 148.8808 2006 10 1 -3.3331 146.0617 53 53
4867 P04362 2006 9 4 -3.7921 148.8808 2006 10 1 -3.3331 146.0617 50 49
4873 P04153 2006 9 5 -3.8459 148.8852 2006 10 21 -2.6498 142.4519 48 48
4878 P04158 2006 9 5 -3.8459 148.8852 2006 10 1 -3.6667 145.4 50 44
4899 P04550 2006 9 5 -3.8459 148.8852 2006 10 8 -3.7 145.7 49 51
4903 P04554 2006 9 5 -3.8459 148.8852 2006 10 1 -3.9939 146.5898 49 49
4907 P04368 2006 9 5 -3.8459 148.8852 2006 10 1 -3.9919 146.5888 47 46
4914 P04375 2006 9 5 -3.8459 148.8852 2006 10 19 -2.3029 141.7166 50 43
4921 P04382 2006 9 5 -3.8459 148.8852 2006 10 1 -3.9886 146.5684 46 47
4932 P04180 2006 9 5 -3.7283 148.9027 2006 10 1 -4.0064 146.5881 41 41
4938 P04185 2006 9 5 -3.7283 148.9027 2006 10 22 -2.6498 142.4519 40 53
5012 Z15037 2006 9 5 -3.7283 148.9027 2006 10 10 -2.2333 142.2667 35 68
5045 P04609 2006 9 5 -3.6704 149.1572 2006 10 20 -4.0038 149.548 37 36
5164 P04735 2006 9 5 -3.6706 149.48 2006 10 1 -3.9865 146.5876 51 42
5186 P05013 2006 9 5 -3.6706 149.48 2006 10 1 -4.0035 146.5866 50 50
5365 P05432 2006 9 10 -2.331 148.7741 2006 10 15 -0.4144 145.8799 39 40
5377 P05444 2006 9 10 -2.331 148.7741 2006 10 4 -4.1833 146.1167 43 45
5415 P04785 2006 9 10 -2.331 148.7741 2006 10 4 -4.1167 147.3333 42 49
5456 Z15119 2006 9 10 -2.331 148.7741 2006 10 27 -3.6085 148.8859 36 48
5483 P05312 2006 9 10 -2.331 148.7741 2006 10 1 -3.6667 145.4 37 34.5
5521 P05342 2006 9 10 -2.331 148.7741 2006 10 30 -2.3667 142.6167 39 38
5582 P05083 2006 9 10 -2.331 148.7741 2006 10 27 -3.6085 148.8859 38 38
5643 Z14235 2006 9 11 -2.3434 148.7872 2006 10 3 -3.8317 145.6667 38 39
5770 P05500 2006 9 12 -1.2 146.65 2006 10 11 -0.4364 143.1234 52 52
5859 P05396 2006 9 12 -1.2 146.65 2006 10 8 -1.771 145.7581 52 55
5864 P05400 2006 9 12 -1.2 146.65 2006 10 11 -0.4369 143.1237 49 52
5889 P05612 2006 9 12 -1.2 146.65 2006 10 1 -1.0939 150.2027 48 53
6040 P05503 2006 9 12 -1.2833 146.3833 2006 10 11 -0.4364 143.1235 52 51
6228 Z14266 2006 9 12 -1.2833 146.3833 2006 10 8 -1.7768 145.7616 33 50
6388 P05192 2006 9 12 -1.2833 146.3833 2006 10 10 1.6 147.1667 52 52
6723 P05964 2006 9 16 -1.157 143.8717 2006 10 25 -2.7833 142.25 51 50
6727 P05968 2006 9 16 -1.157 143.8717 2006 10 10 -2.109 142.4901 53 53
6762 P06012 2006 9 16 -1.157 143.8717 2006 10 9 -2.1818 142.0941 51 53
6774 P06024 2006 9 16 -1.157 143.8717 2006 10 26 -2.95 142.8667 48 50
7186 Z14633 2006 9 19 -2.4839 145.2123 2006 10 27 -3.8333 145.6167 34 41
7215 Z14701 2006 9 19 -2.4839 145.2123 2006 10 3 -3.2667 146.5167 35 35
7348 P06134 2006 9 19 -2.6032 145.2596 2006 10 19 -2.1793 143.3423 50 50
7355 P06141 2006 9 19 -2.6032 145.2596 2006 10 1 -4.0031 146.5919 59 60
7786 P06506 2006 9 19 -2.6032 145.2596 2006 10 1 -3.9891 146.5922 51 50
7788 P06508 2006 9 19 -2.6032 145.2596 2006 10 2 -2.7209 145.0773 51 48
7790 P06510 2006 9 19 -2.6032 145.2596 2006 10 19 -2.0612 143.5443 52 51
7623 P06167 2006 9 19 -2.6604 145.0855 2006 10 10 -3.7667 149.3488 61 53
7628 P06172 2006 9 19 -2.6604 145.0855 2006 10 2 -2.6698 145.5154 53 53
7651 P06195 2006 9 19 -2.6604 145.0855 2006 10 2 -2.7153 145.0766 52 51
7664 P06332 2006 9 19 -2.6604 145.0855 2006 10 19 -2.0552 143.5368 57 52
7687 P06355 2006 9 19 -2.6604 145.0855 2006 10 19 -2.0619 143.5396 54 53
7877 P06515 2006 9 19 -2.6604 145.0855 2006 10 19 -2.6873 144.2011 51 52
7879 P06517 2006 9 19 -2.6604 145.0855 2006 10 2 -2.7195 145.0788 55 54
7706 P06404 2006 9 19 -2.6607 145.085 2006 10 1 -3.3331 146.0617 52 51
7709 P06407 2006 9 19 -2.6607 145.085 2006 10 13 -2.6764 142.6562 49 47
7711 P06409 2006 9 19 -2.6607 145.085 2006 10 2 -2.6698 145.0654 53 52
7716 P06414 2006 9 19 -2.6607 145.085 2006 10 19 -2.0608 143.5442 54 54
7720 P06418 2006 9 19 -2.6607 145.085 2006 10 1 -3.9857 146.5799 50 51
7723 P06421 2006 9 19 -2.6607 145.085 2006 10 2 -2.6698 145.0654 50 49
7731 P06428 2006 9 19 -2.6607 145.085 2006 10 2 -2.6698 145.0654 49 48
7732 P06429 2006 9 19 -2.6607 145.085 2006 10 8 -3.7 145.7 49 52
7950 P06371 2006 9 19 -2.6607 145.085 2006 10 19 -2.0576 143.5438 53 52
7953 P06373 2006 9 19 -2.6607 145.085 2006 10 19 -2.06 143.5419 53 55
7955 P06375 2006 9 19 -2.6607 145.085 2006 10 2 -2.7184 145.0806 55 52
7959 P06378 2006 9 19 -2.6607 145.085 2006 10 2 -2.7166 145.0792 52 50
7963 P06382 2006 9 19 -2.6607 145.085 2006 10 2 -2.6698 145.0654 54 53
7964 P06383 2006 9 19 -2.6607 145.085 2006 10 2 -2.7208 145.0789 55 52
7971 P06390 2006 9 19 -2.6607 145.085 2006 10 19 -2.0606 143.5439 51 51
7988 P06707 2006 9 19 -2.6607 145.085 2006 10 2 -2.6698 145.0654 52 51
7992 P06711 2006 9 19 -2.6607 145.085 2006 10 13 -2.6566 142.2823 50 44
7995 P06714 2006 9 19 -2.6607 145.085 2006 10 2 -2.6698 145.0654 51 50
7996 P06715 2006 9 19 -2.6607 145.085 2006 10 19 -2.0602 143.5434 50 49
7997 P06716 2006 9 19 -2.6607 145.085 2006 10 2 -2.7211 145.0794 52 50
7999 P06718 2006 9 19 -2.6607 145.085 2006 10 2 -2.7203 145.0791 51 49
8001 P06720 2006 9 19 -2.6607 145.085 2006 10 19 -2.0607 143.544 50 49
8004 P06723 2006 9 19 -2.6607 145.085 2006 10 3 -3.5007 146.2699 48 48
8010 P06731 2006 9 19 -2.6607 145.085 2006 10 19 -2.0609 143.5441 51 50
8018 P06739 2006 9 19 -2.6607 145.085 2006 10 19 -2.0608 143.5442 51 38
8025 P06746 2006 9 19 -2.6607 145.085 2006 10 1 -3.977 146.5775 44 44
8041 P06762 2006 9 19 -2.6607 145.085 2006 10 19 -2.061 143.5439 52 51
8128 P06778 2006 9 20 -2.6607 145.085 2006 10 19 -2.0608 143.5443 53 52
