15
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
3028 5387 2002 4 14 -1.95 264.77 2002 6 23 -5.33 260.72 49 68
3033 5388 2002 4 14 -1.95 264.77 2002 6 1 -3.65 260.4 44 46
3035 5389 2002 4 14 -1.95 264.77 2002 6 25 -0.55 264.8 49 49
3039 5390 2002 4 15 -1.95 264.77 2002 6 1 -3.65 260.4 45 49
3043 5392 2002 4 15 -1.95 264.77 2002 6 10 0.02 264.9 49 53
3139 5396 2002 4 15 -1.95 264.77 2002 6 1 -5.6 255.28 55 59
3053 5399 2002 4 16 -1.95 264.77 2002 6 18 -2.02 261.7 46 NA
3451 5403 2002 4 22 -1.97 264.77 2002 6 1 -3.65 260.4 54 62
3478 5404 2002 4 22 -1.97 264.77 2002 6 16 -3.9 254.92 50 40
3480 5405 2002 4 22 -1.97 264.77 2002 6 16 0.72 266.08 50 NA
4179 5407 2002 4 29 -1.95 264.77 2002 6 20 -4.22 261.78 51 60
4320 5408 2002 4 29 -1.95 264.77 2002 6 1 -3.65 260.4 67 NA
4742 5412 2002 5 3 -1.97 264.77 2002 6 25 0.55 264.8 56 58
5179 5414 2002 5 10 -1.97 264.7 2002 6 14 -1.93 261.35 50 57
5401 5416 2002 5 11 0 264.68 2002 6 4 0.05 264.92 52 45
