504
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
25184 P19985 2007 2 26 -6.489 150.4272 2008 12 25 -10.0686 155.8513 50 71
27246 P21840 2007 2 28 -6.3912 150.398 2008 12 8 -8.7176 155.1894 51 74
69887 Z34124 2007 11 10 -8.6532 158.6277 2008 12 5 -8.0333 158.3933 38 34
72891 A07566 2007 11 14 -8.2994 158.1062 2008 12 9 -7.4594 154.829 45 64.5
74968 Z33460 2008 2 22 -7.3767 158.5285 2008 12 4 -2.716 148.9533 31 59
81286 Z39938 2008 2 26 -8.5464 158.5382 2008 12 27 -10.6261 156.0566 36 51
84325 P54829 2008 3 3 -9.1697 157.6141 2008 12 31 -2.9003 149.495 38 36
85132 P53470 2008 3 3 -9.1421 157.8019 2008 12 12 -3.8855 147.7846 38 61
85571 P55393 2008 3 4 -9.625 159.4537 2008 12 31 1.6752 146.383 38 49
85881 P55428 2008 3 4 -9.5472 159.3588 2008 12 1 -4.044 163.398 38 51
86955 P57103 2008 3 6 -9.596 161.0079 2008 12 30 -9.972 154.8886 52 60
87603 P57234 2008 3 8 -9.7311 159.3942 2008 12 22 -9.9833 164.3667 39 53.4
87613 P57908 2008 3 8 -9.7311 159.3942 2008 12 25 -9.762 155.3946 38 50
88107 P58213 2008 3 8 -10.0333 159.4558 2008 12 15 2.6 139.8833 38 NA
88143 P57771 2008 3 8 -10.0333 159.4558 2008 12 28 -7.2916 153.9132 42 53
88551 P57895 2008 3 11 -8.143 156.45 2008 12 26 -2.798 145.8673 44 40
88993 P58647 2008 3 12 -7.6973 155.9271 2008 12 9 -1.7533 143.466 44 51
89065 P58689 2008 3 12 -7.6973 155.9271 2008 12 23 -8.9633 155.5293 39 49.4
89074 P58519 2008 3 12 -7.6973 155.9271 2008 12 8 -7.696 150.6239 39 53
89170 P58948 2008 3 12 -7.6973 155.9271 2008 12 25 -2.7343 161.9836 40 49.5
89885 P58798 2008 3 15 -7.3558 158.6225 2008 12 26 -3.0133 146.0579 45 40
89912 P59113 2008 3 15 -7.3558 158.6225 2008 12 7 1.705 125.1 40 38
91617 P59850 2008 3 27 -8.5664 158.5316 2008 12 25 -9.9659 155.6759 40 46
91627 P59856 2008 3 27 -8.5664 158.5316 2008 12 23 -8.9633 155.5293 43 51
92632 Z41218 2008 3 27 -8.5664 158.5316 2008 12 23 -8.9633 155.5293 35 49.1
91904 A15732 2008 3 27 -8.6534 158.627 2008 12 9 -7.4941 154.8997 42 58
91945 A15770 2008 3 27 -8.6534 158.627 2008 12 7 -8.0069 158.3911 43 40
92918 A15685 2008 3 27 -8.6534 158.627 2008 12 11 -9.1249 159.3901 41 53
93998 Z41669 2008 3 28 -7.8869 160.958 2008 12 13 -7.1333 149.7333 34 63
95325 A14365 2008 3 31 -9.9689 160.0491 2008 12 12 -8.5128 154.1879 40 56
96334 Y34478 2008 4 1 -10.049 159.63 2008 12 13 -9.2639 154.6889 47 60
96683 Y34042 2008 4 1 -9.9307 159.6246 2008 12 7 -4.26 163.5367 38 55
97966 Y34199 2008 4 1 -9.9307 159.6246 2008 12 21 -7.32 151.0953 41 NA
98321 Z43286 2008 4 2 -8.3586 159.0436 2008 12 8 -5.3799 166.6924 37 47.3
98826 Z44056 2008 4 2 -8.3586 159.0436 2008 12 8 -9.1475 157.5056 37 47.5
98868 Z44098 2008 4 2 -8.3586 159.0436 2008 12 28 -7.1798 153.9025 36 51
100419 Z44180 2008 4 2 -8.3586 159.0436 2008 12 8 -7.9542 158.3498 36 50
103267 Z45515 2008 4 6 -7.3712 158.9054 2008 12 29 -6.0281 153.0753 38 55
107672 P66782 2008 6 27 0.4755 155.4296 2008 12 11 -9.5699 168.0659 59 60.7
107813 P68104 2008 6 27 0.4755 155.4296 2008 12 25 -2.6084 155.4857 58 57
112020 Z47569 2008 7 12 4.0945 155.2857 2008 12 12 2.341 140.3341 36 59
112617 P71007 2008 7 15 7.7308 155.3914 2008 12 3 -3.8217 163.8267 63 66
113575 P70516 2008 7 18 7.1649 158.0085 2008 12 20 3.3833 158.7667 53 NA
113785 P70710 2008 7 21 2.5138 156.1913 2008 12 9 -7.5138 163.5386 55 NA
114241 P71989 2008 7 22 2.0462 156.0406 2008 12 24 -4.3971 157.4263 43 56.5
114386 P72208 2008 7 22 2.4122 156.1661 2008 12 17 -9.3501 164.2514 60 63
114440 P70929 2008 7 22 2.4122 156.1661 2008 12 10 -9.56 163.9845 58 61.5
115366 P72427 2008 7 24 7.1303 157.9405 2008 12 27 -8.8405 155.5027 50 60
115650 P72817 2008 8 2 6.4514 146.5149 2008 12 10 2.4269 143.116 41 52.5
116367 P73576 2008 8 5 7.1526 144.105 2008 12 15 -9.9039 155.1781 60 69
116558 P73209 2008 8 5 7.1526 144.105 2008 12 10 -3.6106 149.7033 57 NA
119379 Z55773 2008 8 18 7.5543 134.725 2008 12 10 -1.3333 151 31 28
119272 Z50344 2008 8 18 7.5387 134.7417 2008 12 7 -4.3553 149.574 28 50.2
119595 P74681 2008 8 20 6.929 133.5962 2008 12 15 -9.1807 165.2927 40 59
119882 Z50423 2008 8 21 7.5967 134.2767 2008 12 8 9 131 32 50
119890 Z50431 2008 8 21 7.5967 134.2767 2008 12 8 -1.2477 130.2852 32 40
119759 P74694 2008 8 21 7.6205 134.2742 2008 12 22 0.0054 141.1093 43 NA
121298 P74338 2008 8 23 4.8833 132.057 2008 12 31 -2.4842 144.4712 43 51
122041 P87437 2008 8 27 4.3638 132.2967 2008 12 31 1.7364 146.3617 43 53.5
122087 P75831 2008 8 27 4.3638 132.2967 2008 12 21 -0.1671 137.4336 44 45
122110 P75846 2008 8 27 4.3638 132.2967 2008 12 7 4.2768 149.5883 42 51.6
122445 P87196 2008 8 27 4.4008 132.3256 2008 12 21 9.3833 121.2167 38 NA
122771 P74299 2008 8 27 4.4008 132.3256 2008 12 5 7 130 45 NA
122772 P74300 2008 8 27 4.4008 132.3256 2008 12 15 1.5 139.3333 47 NA
122797 P75313 2008 8 27 4.4008 132.3256 2008 12 27 -8.5893 154.526 42 53
122802 P75318 2008 8 27 4.4008 132.3256 2008 12 25 17.6573 139.4479 44 57
122629 P75289 2008 8 27 4.4077 132.302 2008 12 22 -2.4667 142.6333 43 54
124004 P75162 2008 8 27 4.4077 132.302 2008 12 23 -8.762 154.65 46 52
123746 P76362 2008 8 27 4.8383 132.0862 2008 12 25 -2.6625 161.8182 61 62.5
123818 P77234 2008 8 27 4.8383 132.0862 2008 12 26 2.4833 129.0833 62 40
124610 P76595 2008 8 30 7.3618 133.6376 2008 12 25 17.6573 139.4479 60 66
125461 Z53121 2008 8 31 6.7274 130.9492 2008 12 28 2.2242 125.7505 34 NA
125857 Z53651 2008 8 31 6.7505 130.6355 2008 12 15 -9.2349 165.6349 31 51
126389 Z53579 2008 9 1 6.0442 127.8372 2008 12 15 2 139.5 34 NA
