14
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
YZ31197 1226 1995 1 30 11.7667 141.6333 1995 3 18 21 141 56.5 53.5
ME37053 1227 1995 1 27 20.9333 140.7667 1995 3 8 32.8667 139.5333 71.5 80
ME37575 1228 1995 1 28 20.9333 140.95 1995 3 22 33.3 139.8167 72.361 66.8
YZ32399 1229 1995 1 30 11.8 141.4167 1995 3 18 33.25 135.8333 50.5 39
ME36687 1272 1994 11 24 5.3167 170.7833 1995 3 23 6.8333 157.5333 51.7737 55
YZ30571 1273 1994 11 28 9.35 148.4667 1995 3 9 13.3167 153.8 38.5 67
S17460 1274 1994 11 29 9.7167 150.8 1995 3 24 8.9833 146.8333 44 47.7
YZ32209 1275 1995 1 30 11.8 141.4167 1995 3 29 9.2167 142.7667 50.5 63
S17803 1277 1994 11 30 9.6667 151.3 1995 3 28 8.8167 147.3833 58 72
YZ31979 1278 1995 1 30 11.8 141.4167 1995 3 29 9.1333 142.85 50.5 54
S17818 1287 1994 11 30 9.6667 151.3 1995 3 2 11.7833 152.2167 58 NA
YZ31227 1289 1995 1 30 11.7167 141.5333 1995 3 24 10.4 144.7333 44.5 52
YZ31755 1297 1995 1 30 11.8 141.4167 1995 3 10 11.9167 140.7 50.5 57.5
YZ29485 1317 1993 2 3 7.9167 145.9167 1995 3 13 13.2833 152.7833 48.8679 NA
