21
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
ME47450 1635 1999 6 15 34.35 150.4 1999 7 1 37.55 154.15 53 NA
ME47453 1636 1999 6 15 34.35 150.4 1999 7 20 37.6667 144.25 50 52
ME47413 1637 1999 6 15 34.35 150.4 1999 7 2 37.6667 154.0833 49 50
ME47339 1638 1999 6 15 34.4167 150.2167 1999 7 2 37.6667 154.0833 53 55
ME47433 1639 1999 6 15 34.35 150.4 1999 7 20 38.2667 144 53 52.8
ME47320 1640 1999 6 15 34.4167 150.2167 1999 7 20 37.8333 145.55 49 51
64754 1641 1998 10 27 37.4667 145.3167 1999 7 2 37.35 142.2833 37 48.2
ME47295 1642 1999 6 15 34.4167 150.2167 1999 7 6 38.3 151.8833 47 NA
ME47483 1643 1999 6 15 34.35 150.4 1999 7 14 38.6667 147.95 53 54.5
ME47330 1644 1999 6 15 34.4167 150.2167 1999 7 12 38.05 148.7 50 51.7
ME47325 1645 1999 6 15 34.4167 150.2167 1999 7 12 38.05 148.7 49 NA
ME47115 1646 1999 5 17 23.5167 153.55 1999 7 15 38.0333 160.2 49 50.2
ME47403 1647 1999 6 15 34.35 150.4 1999 7 15 38.0333 160.2 53 55
ME47286 1648 1999 6 15 34.4167 150.2167 1999 7 22 36.75 145.2833 50 52.7
ME47362 1649 1999 6 15 34.35 150.4 1999 7 15 38.0333 160.2 51 53.5
ME47358 1650 1999 6 15 34.35 150.4 1999 7 25 38 158 48 50
ME47469 1651 1999 6 15 34.35 150.4 1999 7 25 39.5167 157.8833 49 50.9
ME47242 1655 1999 6 15 34.4167 150.2167 1999 7 28 39.0667 162.1 54 56.8
ME47455 1665 1999 6 15 34.35 150.4 1999 7 5 37.8833 145.6833 50 53
ME47372 1666 1999 6 15 34.35 150.4 1999 7 27 38.9667 146.25 52 60
ME47464 1667 1999 6 15 34.35 150.4 1999 7 28 39.55 146.5167 51 60
