27
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
59563 1375 1995 6 30 37.6167 148.8333 1996 5 22 31.6667 134 51 52
S18432 1378 1995 11 25 14.1833 140.1167 1996 5 5 14.8333 137.1167 47 55.3
S18418 1379 1995 11 25 14.1833 140.1167 1996 5 8 16.2333 136.1167 47 59.5
S18045 1380 1995 11 24 15.6333 139.75 1996 5 8 16.2333 136.1167 50 55.9
S17504 1381 1994 11 29 9.7 150.7833 1996 5 1 16.4333 139.1833 44 61.7
S18808 1382 1995 11 25 14.1833 140.1167 1996 5 1 16.4333 139.1833 47 58
YZ32828 1392 1995 1 30 11.7833 141.4167 1996 5 1 1.8833 132.3667 50.5 63
S18752 1397 1995 11 25 14.1833 140.1167 1996 5 5 11 135 47 58
G7121 1398 1994 9 9 42.1167 154.8667 1996 5 5 11 135 45 57
58988 1400 1995 9 26 38.8333 146.3 1996 5 24 14.3833 140.9833 49 NA
S18994 1401 1995 11 26 14.2 139.7 1996 5 26 14.2333 141.1167 49 58.4
S18586 1402 1995 11 25 14.2833 140.0833 1996 5 12 18.4333 138.7333 47 NA
S18178 1403 1995 11 25 14.2833 140.0833 1996 5 4 16.3333 138.4333 47 56
S18464 1404 1995 11 25 14.1833 140.1167 1996 5 7 17.6 138.15 47 59
S19064 1405 1995 11 25 14.1833 140.1167 1996 5 7 17.6 138.15 47 58.2
S19099 1406 1995 11 25 14.1833 140.1167 1996 5 2 14.35 136.1667 47 58
S20126 1407 1996 1 28 7.9333 150.8333 1996 5 22 4.3333 152.5667 45 49
S18168 1408 1995 11 25 14.2833 140.0833 1996 5 9 19.2 138.3333 47 58.4
S19032 1409 1995 11 25 14.1833 140.1167 1996 5 9 19.2 138.3333 47 57.8
G7721 1410 1995 11 4 38.0333 154.7833 1996 5 NA 18 138 50 50.1
S18290 1411 1995 11 25 14.2833 140.0833 1996 5 NA 18 138 47 58.1
G9784 1413 1995 9 26 40.5333 150.05 1996 5 29 33.3 142.75 58 NA
S18897 1415 1995 11 26 14.2 139.7 1996 5 29 14.3667 139.1667 49 NA
G10296 1416 1995 10 1 39.4333 151.15 1996 5 15 16.4 137.1333 48 NA
S18739 1417 1995 11 25 14.1833 140.1167 1996 5 27 18.9167 152.3 47 56.7
S18217 1419 1995 11 25 14.2833 140.0833 1996 5 20 17.1 136.6167 47 56.7
S19557 1421 1995 11 28 11.0333 141.8333 1996 5 14 16.7333 136.4833 56 58.9
