11
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
YZ32580 1300 1995 1 30 11.8 141.4167 1995 7 20 38.15 142.7667 50.5 57
YZ32311 1301 1995 1 30 11.8 141.4167 1995 7 8 4 140 50.5 NA
YZ31425 1304 1995 1 30 11.7167 141.5333 1995 7 25 37.95 147.6333 44.5 NA
59599 1305 1995 7 14 35.8167 148.1167 1995 7 24 37.5 147.2333 49 NA
S17230 1315 1994 11 29 9.7167 150.8 1995 7 27 39.4167 148.0833 44 60
YZ32504 1330 1995 1 30 11.8 141.4167 1995 7 8 3.6833 139.2667 50.5 NA
S17541 1331 1994 11 29 9.7167 150.8 1995 7 18 2.8167 140.1333 44 61.1
YZ31773 1332 1995 1 30 11.8 141.4167 1995 7 12 4.9333 140.6333 50.5 50
YZ32395 1337 1995 1 30 11.8 141.4167 1995 7 8 11.1667 131.05 50.5 56
59402 1338 1994 6 26 32.5833 147.2833 1995 7 1 11.8 134.6167 44.5 60
YZ31828 1339 1995 1 30 11.8 141.4167 1995 7 25 4.2333 139.3333 50.5 52
