24
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
ME47422 1656 1999 6 15 34.35 150.4 1999 9 10 40.9167 145.3667 50 57.8
ME47355 1658 1999 6 15 34.35 150.4 1999 9 1 42.25 167.7667 53 56.2
57809 1660 1999 8 30 39.4833 145.1333 1999 9 9 41.0167 145.5167 36.9 42.8
57578 1661 1999 8 30 39.4833 145.1333 1999 9 9 41.0167 145.5167 36.9 38.5
58145 1662 1999 7 13 36.3833 148.2 1999 9 9 40.8833 145.5667 35 NA
ME47395 1663 1999 6 15 34.35 150.4 1999 9 2 39.15 144.6667 54 59.5
57569 1668 1999 8 30 39.4833 145.1333 1999 9 1 39.3333 144.3333 36.9 41
ME47445 1669 1999 6 15 34.35 150.4 1999 9 2 39.0833 145.5 50 NA
57616 1670 1999 8 30 39.4833 145.1333 1999 9 2 39.2333 144.3167 36.9 38.2
ME47294 1671 1999 6 15 34.4167 150.2167 1999 9 2 39.25 145 50 53
ME47441 1672 1999 6 15 34.35 150.4 1999 9 7 41.1333 145.25 50 43.2
ME47276 1673 1999 6 15 34.4167 150.2167 1999 9 8 41.3833 145.2167 50 NA
ME47252 1674 1999 6 15 34.4167 150.2167 1999 9 9 41.5 145.1333 50 NA
ME47303 1675 1999 6 15 34.4167 150.2167 1999 9 9 41.5 145.1333 52 NA
ME47310 1676 1999 6 15 34.4167 150.2167 1999 9 10 39.9 142.8333 50 55.9
ME47491 1677 1999 6 15 34.35 150.4 1999 9 12 40.6667 146.0833 51 NA
57857 1678 1999 8 30 39.4833 145.1333 1999 9 12 40.6667 146.0833 36.9 NA
ME47417 1679 1999 6 15 34.35 150.4 1999 9 12 39.9167 144.1667 51 NA
ME47425 1680 1999 6 15 34.35 150.4 1999 9 15 40.75 145.8333 50 NA
ME47402 1681 1999 6 15 34.35 150.4 1999 9 15 40.75 145.75 48 54
ME47335 1682 1999 6 15 34.4167 150.2167 1999 9 15 40.8167 146.0667 50 56.8
57884 1683 1999 8 30 39.4833 145.1333 1999 9 27 33.3667 135.75 36.9 39
57899 1684 1999 8 30 39.4833 145.1333 1999 9 28 39.3167 143.5167 36.9 NA
ME47237 1701 1999 6 15 34.4167 150.2167 1999 9 11 40.4333 144.7333 51 55
