142
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
7854 Z14755 2006 9 19 -2.6032 145.2596 2007 9 19 0.2074 178.8472 35 68.7
8928 P05774 2006 9 21 -3.8372 145.5695 2007 9 24 -0.2097 146.111 52 NA
11335 P09148 2006 9 26 -3.73 145.7207 2007 9 24 -0.0317 146.5565 56 NA
17193 Z16796 2006 10 23 -4.9067 145.9104 2007 9 19 3.4857 158.5135 38 67.5
22836 P18339 2007 2 20 -5.7776 155.8412 2007 9 9 -2.8264 143.3691 43 NA
22937 P18814 2007 2 20 -5.7776 155.8412 2007 9 19 3.4835 158.5204 47 57.5
22965 Z18024 2007 2 20 -5.7776 155.8412 2007 9 7 -3.062 156.9944 44 56
23279 P18718 2007 2 20 -5.7776 155.8412 2007 9 17 -0.1915 159.8672 39 54
23381 P19020 2007 2 20 -5.7776 155.8412 2007 9 16 -2.7113 142.1801 42 51
23417 P18907 2007 2 20 -5.7776 155.8412 2007 9 19 3.4909 158.5239 41 56
23468 P19080 2007 2 20 -5.7324 155.6981 2007 9 15 -3.393 144.9451 43 NA
23696 P19126 2007 2 20 -5.7324 155.6981 2007 9 16 -0.4086 151.2079 43 49
24226 P19531 2007 2 23 -6.7017 154.4708 2007 9 22 -5.329 168.2529 53 67.5
24818 P19450 2007 2 25 -6.715 150.1262 2007 9 23 -1.8778 154.5763 50 64
25081 P20640 2007 2 25 -6.4765 150.4049 2007 9 20 2.0182 161.386 50 80
25713 P20767 2007 2 26 -6.489 150.4272 2007 9 15 -3.3357 145.1637 46 52
25980 P20388 2007 2 26 -6.489 150.4272 2007 9 28 -3 150 50 61
26300 P20046 2007 2 27 -6.5877 150.2138 2007 9 16 -1 140.0667 50 52
26576 P21571 2007 2 27 -6.451 150.417 2007 9 14 -2.1646 157.631 49 59
26637 P21648 2007 2 27 -6.451 150.417 2007 9 19 -6.1548 163.8798 51 47
26813 P22340 2007 2 28 -6.3912 150.398 2007 9 8 -3.95 149.35 47 60
27146 P21289 2007 2 28 -6.3912 150.398 2007 9 29 4.2167 160.3667 47 56.8
27156 P21293 2007 2 28 -6.3912 150.398 2007 9 5 -1.9667 142.25 47 51
27641 P21959 2007 2 28 -6.3912 150.398 2007 9 6 -8.2503 158.7512 64 58
27820 P22112 2007 2 28 -6.3912 150.398 2007 9 16 -8.8124 158.5703 51 60
28013 P22945 2007 2 28 -6.485 150.4759 2007 9 4 -2.2814 141.9493 47 57
28332 P24922 2007 2 28 -6.3715 150.4878 2007 9 5 -3.6667 146.8167 49 52
29693 P24353 2007 3 2 -6.3767 150.3915 2007 9 24 -0.8275 153.3922 46 59
29747 P24384 2007 3 2 -6.3767 150.3915 2007 9 21 -8.1233 158.4383 43 48
29761 P24398 2007 3 2 -6.3767 150.3915 2007 9 7 -2.266 142.5296 47 45
30280 P23903 2007 3 2 -6.3767 150.3915 2007 9 24 -1.0672 153.0071 47 63
30406 P23495 2007 3 2 -6.3767 150.3915 2007 9 15 -1.3231 142.5251 48 49
30643 P31296 2007 3 2 -6.3767 150.3915 2007 9 5 -2.3 141.9667 50 51
31134 P31384 2007 3 6 -6.9 147.7283 2007 9 15 -2.1285 142.9383 39 49
31562 P25457 2007 3 7 -6.7912 149.9284 2007 9 10 -7.994 157.6926 46 40
31778 Z19506 2007 3 7 -6.6877 150.171 2007 9 4 -8.4188 156.2323 36 48
32053 P33707 2007 3 8 -6.68 150.3612 2007 9 24 -1.993 158.9598 50 69
33163 P30059 2007 3 9 -6.5744 150.282 2007 9 15 -3.0119 153.7608 53 NA
33008 P26643 2007 3 9 -6.5286 150.2167 2007 9 17 -2 140 50 52
33088 P26671 2007 3 9 -6.5286 150.2167 2007 9 23 -7.5783 157.035 46 50
33143 P27701 2007 3 9 -6.5286 150.2167 2007 9 20 -2.0923 158.7094 47 63
33170 P27712 2007 3 9 -6.5286 150.2167 2007 9 7 -1.1022 146.3825 51 55
33920 P26599 2007 3 13 -1.6397 150.6832 2007 9 16 -1.1667 142.25 45 45
33989 P26823 2007 3 13 -1.538 150.5963 2007 9 6 -8.5275 156.4139 42 50
34230 P26852 2007 3 13 -1.5567 150.7337 2007 9 20 2.0958 139.5042 45 NA
34532 P27672 2007 3 13 -1.5567 150.7337 2007 9 14 -1.0123 142.741 43 51
34770 P25374 2007 3 15 -1.4834 150.6484 2007 9 20 2.0958 139.5042 46 NA
35222 P28495 2007 3 17 -3.313 150.8965 2007 9 27 0.0046 156.7815 50 58
38443 Z21562 2007 3 24 -4.4267 150.65 2007 9 20 -2.3527 145.8158 39 50
38567 P29063 2007 3 24 -4.4267 150.65 2007 9 4 -2.6296 159.3838 46 38
38263 P27320 2007 3 24 -4.6067 150.5333 2007 9 4 -2.2814 141.9493 42 50
38308 P27216 2007 3 24 -4.6067 150.5333 2007 9 7 -3.068 157.0039 45 53
38597 Z22183 2007 3 24 -4.6067 150.5333 2007 9 18 -2.1427 145.7708 43 52
40615 P29387 2007 4 3 -2.9791 150.6379 2007 9 4 -2.2814 141.9493 43 54
40917 P31518 2007 4 8 -2.4278 148.8591 2007 9 15 -1.57 142.5285 42 47
40933 P31534 2007 4 8 -2.4278 148.8591 2007 9 1 -2.4354 156.7375 45 53
40991 Z22999 2007 4 8 -2.4278 148.8591 2007 9 29 -3.05 148.4833 36 49
41030 P32012 2007 4 8 -2.4278 148.8591 2007 9 19 -0.6438 168.5201 46 51
41160 P32072 2007 4 8 -2.5791 148.7711 2007 9 15 -3.0119 153.7608 41 NA
41513 P29481 2007 4 9 -2.3788 148.4305 2007 9 14 -3.7833 149.8 42 42
41518 P29762 2007 4 9 -2.3788 148.4305 2007 9 12 -0.756 144.3495 40 52
